,Name,ShortName,TeamName,TeamShortName,SkillName,IS_FP,Value
133,Kuldeep Sen,Kuldeep Sen,Rajasthan Royals,RR,BOWLER,0,7.5
134,Dwaine Pretorius,Dwaine Pretorius,Chennai Super Kings,CSK,ALL ROUNDER,1,7.5
135,Sarfaraz Khan,Sarfaraz Khan,Delhi Capitals,DC,BATSMAN,0,7.5
136,Sai Kishore,Sai Kishore,Gujarat Titans,GT,BOWLER,0,7.5
137,Odean Smith,Odean Smith,Gujarat Titans,GT,BOWLER,1,7.5
138,Mitchell Santner,Mitchell Santner,Chennai Super Kings,CSK,ALL ROUNDER,1,7.5
139,Philip Salt,Philip Salt,Delhi Capitals,DC,WICKET KEEPER,1,7.5
140,Yash Dayal,Yash Dayal,Gujarat Titans,GT,BOWLER,0,7.5
141,Shivam Dube,Shivam Dube,Chennai Super Kings,CSK,ALL ROUNDER,0,7.5
142,Mukesh Choudhary,Mukesh Choudhary,Chennai Super Kings,CSK,BOWLER,0,7.5
143,Donovan Ferreira,Donovan Ferreira,Rajasthan Royals,RR,ALL ROUNDER,1,7
144,Samarth Vyas,Samarth Vyas,Sunrisers Hyderabad,SRH,BATSMAN,0,7
145,Anmolpreet Singh,Anmolpreet Singh,Sunrisers Hyderabad,SRH,BATSMAN,0,7
146,Suyash Prabhudessai,Suyash Prabhudessai,Royal Challengers Bangalore,RCB,BATSMAN,0,7
147,KM Asif,KM Asif,Rajasthan Royals,RR,BOWLER,0,7
148,Karn Sharma,Karn Sharma,Royal Challengers Bangalore,RCB,BOWLER,0,7
149,Noor Ahmad,Noor Ahmad,Gujarat Titans,GT,BOWLER,1,7
150,Kamlesh Nagarkoti,Kamlesh Nagarkoti,Delhi Capitals,DC,BOWLER,0,7
151,Mayank Markande,Mayank Markande,Sunrisers Hyderabad,SRH,BOWLER,0,7
152,Siddarth Kaul,Siddarth Kaul,Royal Challengers Bangalore,RCB,BOWLER,0,7
153,Mahipal Lomror,Mahipal Lomror,Royal Challengers Bangalore,RCB,ALL ROUNDER,0,7
154,Narayan Jagadeesan,Narayan Jagadeesan,Kolkata Knight Riders,KKR,WICKET KEEPER,0,7
155,Mukesh Kumar,Mukesh Kumar,Delhi Capitals,DC,BOWLER,0,7
156,Piyush Chawla,Piyush Chawla,Mumbai Indians,MI,BOWLER,0,7
157,Reece Topley,Reece Topley,Royal Challengers Bangalore,RCB,BOWLER,1,7
158,Mandeep Singh,Mandeep Singh,Kolkata Knight Riders,KKR,BATSMAN,0,7
159,Rishi Dhawan,Rishi Dhawan,Punjab Kings,PBKS,ALL ROUNDER,0,7
160,Vijay Shankar,Vijay Shankar,Gujarat Titans,GT,ALL ROUNDER,0,7
161,Abhinav Manohar,Abhinav Manohar,Gujarat Titans,GT,BATSMAN,0,7
162,Nathan Ellis,Nathan Ellis,Punjab Kings,PBKS,BOWLER,1,7
163,Harpreet Brar,Harpreet Brar,Punjab Kings,PBKS,BOWLER,0,7
164,Finn Allen,Finn Allen,Royal Challengers Bangalore,RCB,BATSMAN,1,7
165,Tushar Deshpande,Tushar Deshpande,Chennai Super Kings,CSK,BOWLER,0,7
166,Shahbaz Ahmed,Shahbaz Ahmed,Royal Challengers Bangalore,RCB,ALL ROUNDER,0,7
167,Sai Sudharsan,Sai Sudharsan,Gujarat Titans,GT,BATSMAN,0,7
168,Rinku Singh,Rinku Singh,Kolkata Knight Riders,KKR,BATSMAN,0,7
169,Litton Das,Litton Das,Kolkata Knight Riders,KKR,WICKET KEEPER,1,7
170,Prerak Mankad,Prerak Mankad,Lucknow Super Giants,LSG,ALL ROUNDER,0,6.5
171,Swapnil Singh,Swapnil Singh,Lucknow Super Giants,LSG,ALL ROUNDER,0,6.5
172,Anukul Roy,Anukul Roy,Kolkata Knight Riders,KKR,ALL ROUNDER,0,6.5
173,Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,RR,WICKET KEEPER,0,6.5
174,Ramandeep Singh,Ramandeep Singh,Mumbai Indians,MI,ALL ROUNDER,0,6.5
175,Karan Sharma,Karan Sharma,Lucknow Super Giants,LSG,ALL ROUNDER,0,6.5
176,Prabhsimran Singh,Prabhsimran Singh,Punjab Kings,PBKS,BATSMAN,0,6.5
177,KC Cariappa,KC Cariappa,Rajasthan Royals,RR,BOWLER,0,6.5
178,Duan Jansen,Duan Jansen,Mumbai Indians,MI,BOWLER,1,6.5
179,Urvil Patel,Urvil Patel,Gujarat Titans,GT,WICKET KEEPER,0,6.5
180,Manan Vohra,Manan Vohra,Lucknow Super Giants,LSG,BATSMAN,0,6.5
181,Hrithik Shokeen,Hrithik Shokeen,Mumbai Indians,MI,BOWLER,0,6.5
182,Pradeep Sangwan,Pradeep Sangwan,Gujarat Titans,GT,BOWLER,0,6.5
183,Akash Deep,Akash Deep,Royal Challengers Bangalore,RCB,BOWLER,0,6.5
184,Simarjeet Singh,Simarjeet Singh,Chennai Super Kings,CSK,BOWLER,0,6.5
185,Abdul Samad,Abdul Samad,Sunrisers Hyderabad,SRH,BATSMAN,0,6.5
186,Jitesh Sharma,Jitesh Sharma,Punjab Kings,PBKS,WICKET KEEPER,0,6.5
187,Kartik Tyagi,Kartik Tyagi,Sunrisers Hyderabad,SRH,BOWLER,0,6.5
188,Akash Vasisht,Akash Vasisht,Rajasthan Royals,RR,ALL ROUNDER,0,6
189,Vivrant Sharma,Vivrant Sharma,Sunrisers Hyderabad,SRH,ALL ROUNDER,0,6
190,Shams Mulani,Shams Mulani,Mumbai Indians,MI,ALL ROUNDER,0,6
191,Nishant Sindhu,Nishant Sindhu,Chennai Super Kings,CSK,ALL ROUNDER,0,6
192,Raj Bawa,Raj Bawa,Punjab Kings,PBKS,ALL ROUNDER,0,6
193,Sonu Yadav,Sonu Yadav,Royal Challengers Bangalore,RCB,BOWLER,0,6
194,Mayank Dagar,Mayank Dagar,Sunrisers Hyderabad,SRH,BOWLER,0,6
195,Mayank Yadav,Mayank Yadav,Lucknow Super Giants,LSG,BOWLER,0,6
196,Harshit Rana,Harshit Rana,Kolkata Knight Riders,KKR,ALL ROUNDER,0,6
197,Yash Thakur,Yash Thakur,Lucknow Super Giants,LSG,BOWLER,0,6
198,Vishnu Vinod,Vishnu Vinod,Mumbai Indians,MI,WICKET KEEPER,0,6
199,Shivam Singh,Shivam Singh,Punjab Kings,PBKS,BATSMAN,0,6
200,Harpreet Singh,Harpreet Singh,Punjab Kings,PBKS,BATSMAN,0,6
201,Subhranshu Senapati,Subhranshu Senapati,Chennai Super Kings,CSK,BATSMAN,0,6
202,Darshan Nalkande,Darshan Nalkande,Gujarat Titans,GT,BOWLER,0,6
203,Matheesha Pathirana,Matheesha Pathirana,Chennai Super Kings,CSK,BOWLER,1,6
204,Yash Dhull,Yash Dhull,Delhi Capitals,DC,BATSMAN,0,6
205,Kuldip Yadav,Kuldip Yadav,Rajasthan Royals,RR,BOWLER,0,6
206,Sanvir Singh,Sanvir Singh,Sunrisers Hyderabad,SRH,ALL ROUNDER,0,5.5
207,Nitish Kumar Reddy,Nitish Kumar Reddy,Sunrisers Hyderabad,SRH,ALL ROUNDER,0,5.5
208,Mohit Rathee,Mohit Rathee,Punjab Kings,PBKS,ALL ROUNDER,0,5.5
209,Vicky Ostwal,Vicky Ostwal,Delhi Capitals,DC,BOWLER,0,5.5
210,Kulwant Khejroliya,Kulwant Khejroliya,Kolkata Knight Riders,KKR,BOWLER,0,5.5
211,Akash Madhwal,Akash Madhwal,Mumbai Indians,MI,BOWLER,0,5.5
212,Pravin Dubey,Pravin Dubey,Delhi Capitals,DC,BOWLER,0,5.5
213,Kunal Singh Rathore,Kunal Singh Rathore,Rajasthan Royals,RR,WICKET KEEPER,0,5.5
214,Upendra Yadav,Upendra Yadav,Sunrisers Hyderabad,SRH,WICKET KEEPER,0,5.5
215,Atharva Taide,Atharva Taide,Punjab Kings,PBKS,BATSMAN,0,5.5
216,Rajvardhan Hangargekar,Rajvardhan Hangargekar,Chennai Super Kings,CSK,BOWLER,0,5.5
217,Abdul Basith,Abdul Basith,Rajasthan Royals,RR,ALL ROUNDER,0,5
218,Manoj Bhandage,Manoj Bhandage,Royal Challengers Bangalore,RCB,ALL ROUNDER,0,5
219,Baltej Singh,Baltej Singh,Punjab Kings,PBKS,BOWLER,0,5
220,Rajan Kumar,Rajan Kumar,Royal Challengers Bangalore,RCB,BOWLER,0,5
221,Vidwath Kaverappa,Vidwath Kaverappa,Punjab Kings,PBKS,BOWLER,0,5
222,Himanshu Sharma,Himanshu Sharma,Royal Challengers Bangalore,RCB,BOWLER,0,5
